area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;006002;083;08;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2712;194,037768294541;010150006002;01015000600208308;010150006002083081;202605
1;010150;006701;066;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2713;43,7686718785485;010150006701;01015000670106601;010150006701066011;202605
1;010150;006701;066;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;43,7686718785485;010150006701;01015000670106602;010150006701066021;202605
1;010150;006701;066;03;1;2;2;2;1;1;2;1;2;2;1;2;2;3;2;2;2;2713;43,7686718785485;010150006701;01015000670106603;010150006701066031;202605
1;010150;006701;066;04;1;2;2;2;2;3;3;2;2;2;2;2;2;3;2;3;3;2713;43,7686718785485;010150006701;01015000670106604;010150006701066041;202605
1;010150;006701;066;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;43,7686718785485;010150006701;01015000670106605;010150006701066051;202605
1;010150;006701;066;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2713;43,7686718785485;010150006701;01015000670106606;010150006701066061;202605
1;010150;006701;066;07;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2713;43,7686718785485;010150006701;01015000670106607;010150006701066071;202605
1;010150;007102;081;01;1;2;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;32,4208737575292;010150007102;01015000710208101;010150007102081011;202605
1;010150;007102;081;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2711;32,4208737575292;010150007102;01015000710208102;010150007102081021;202605
1;010150;007102;081;03;1;2;3;1;3;2;2;2;2;2;2;2;2;3;3;3;3;2711;32,4208737575292;010150007102;01015000710208103;010150007102081031;202605
1;010150;007102;081;04;1;2;2;1;2;2;2;2;2;2;2;2;2;3;2;3;3;2711;32,4208737575292;010150007102;01015000710208104;010150007102081041;202605
1;010150;007102;081;05;1;2;3;3;1;3;3;3;3;2;2;2;2;3;3;2;2;2711;32,4208737575292;010150007102;01015000710208105;010150007102081051;202605
1;010150;007102;081;06;1;2;2;2;2;2;2;2;2;2;2;2;2;1;3;3;3;2711;32,4208737575292;010150007102;01015000710208106;010150007102081061;202605
1;010150;007102;081;07;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2711;32,4208737575292;010150007102;01015000710208107;010150007102081071;202605
1;010150;009203;066;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;109,026336752916;010150009203;01015000920306601;010150009203066011;202605
1;010150;009203;066;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2711;109,026336752916;010150009203;01015000920306602;010150009203066021;202605
1;010150;009203;066;03;1;2;3;1;2;2;2;3;2;2;2;2;2;3;3;3;3;2711;109,026336752916;010150009203;01015000920306603;010150009203066031;202605
1;010150;009203;066;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2711;109,026336752916;010150009203;01015000920306604;010150009203066041;202605
1;010150;009203;066;05;1;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1;2711;109,026336752916;010150009203;01015000920306605;010150009203066051;202605
1;010150;009203;066;06;1;1;2;1;2;2;2;2;2;2;2;2;3;3;3;3;2;2711;109,026336752916;010150009203;01015000920306606;010150009203066061;202605
1;010150;009203;066;07;1;2;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;109,026336752916;010150009203;01015000920306607;010150009203066071;202605
1;010150;009702;081;01;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;3;2713;81,4493012938735;010150009702;01015000970208101;010150009702081011;202605
1;010150;009702;081;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;81,4493012938735;010150009702;01015000970208102;010150009702081021;202605
1;010150;009702;081;03;1;2;2;1;2;2;2;2;2;2;2;3;2;2;2;2;2;2713;81,4493012938735;010150009702;01015000970208103;010150009702081031;202605
1;010150;009702;081;04;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;81,4493012938735;010150009702;01015000970208104;010150009702081041;202605
1;010150;009702;081;05;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2713;81,4493012938735;010150009702;01015000970208105;010150009702081051;202605
1;010150;009702;081;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;81,4493012938735;010150009702;01015000970208106;010150009702081061;202605
1;010150;009702;081;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2713;81,4493012938735;010150009702;01015000970208107;010150009702081071;202605
1;010150;010501;063;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;32,2348683530576;010150010501;01015001050106301;010150010501063011;202605
1;010150;010501;063;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;2713;32,2348683530576;010150010501;01015001050106302;010150010501063021;202605
1;010150;010501;063;03;1;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;32,2348683530576;010150010501;01015001050106303;010150010501063031;202605
1;010150;010501;063;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;32,2348683530576;010150010501;01015001050106304;010150010501063041;202605
1;010150;010501;063;05;1;2;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;32,2348683530576;010150010501;01015001050106305;010150010501063051;202605
1;010150;010501;063;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2713;32,2348683530576;010150010501;01015001050106306;010150010501063061;202605
1;010150;010501;063;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;32,2348683530576;010150010501;01015001050106307;010150010501063071;202605
1;010150;012401;083;01;1;2;2;1;2;2;2;2;3;2;2;3;2;3;3;3;3;2711;37,9451113184638;010150012401;01015001240108301;010150012401083011;202605
1;010150;012401;083;03;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;37,9451113184638;010150012401;01015001240108303;010150012401083031;202605
1;010150;012401;083;04;1;2;2;3;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;37,9451113184638;010150012401;01015001240108304;010150012401083041;202605
1;010150;012401;083;06;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2711;37,9451113184638;010150012401;01015001240108306;010150012401083061;202605
1;010150;012401;083;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2711;37,9451113184638;010150012401;01015001240108307;010150012401083071;202605
1;010150;012401;083;08;1;2;2;1;2;2;2;2;2;2;2;2;2;3;2;3;2;2711;37,9451113184638;010150012401;01015001240108308;010150012401083081;202605
1;010150;012401;083;09;1;2;2;2;2;2;2;3;2;3;2;2;3;3;3;3;2;2711;37,9451113184638;010150012401;01015001240108309;010150012401083091;202605
1;010150;012801;081;01;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;183,822784551185;010150012801;01015001280108101;010150012801081011;202605
1;010150;012801;081;02;1;3;3;3;3;3;3;2;3;2;2;2;2;3;3;3;2;2713;183,822784551185;010150012801;01015001280108102;010150012801081021;202605
1;010150;012801;081;03;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;183,822784551185;010150012801;01015001280108103;010150012801081031;202605
1;010150;012801;081;04;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;183,822784551185;010150012801;01015001280108104;010150012801081041;202605
1;010150;012801;081;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2713;183,822784551185;010150012801;01015001280108105;010150012801081051;202605
1;010150;012801;081;06;1;2;2;1;1;2;1;2;3;3;2;2;2;3;3;2;3;2713;183,822784551185;010150012801;01015001280108106;010150012801081061;202605
1;010150;012801;081;07;1;2;2;2;2;3;3;2;2;2;2;2;2;3;2;3;3;2713;183,822784551185;010150012801;01015001280108107;010150012801081071;202605
1;010150;013401;066;01;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;64,751390355703;010150013401;01015001340106601;010150013401066011;202605
1;010150;013401;066;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;64,751390355703;010150013401;01015001340106602;010150013401066021;202605
1;010150;013401;066;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;64,751390355703;010150013401;01015001340106603;010150013401066031;202605
1;010150;013401;066;04;1;2;2;1;2;1;2;2;2;2;2;2;2;2;3;2;1;2711;64,751390355703;010150013401;01015001340106604;010150013401066041;202605
1;010150;013401;066;05;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2711;64,751390355703;010150013401;01015001340106605;010150013401066051;202605
1;010150;013401;066;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;64,751390355703;010150013401;01015001340106606;010150013401066061;202605
1;010150;013401;066;07;1;3;3;1;2;2;2;2;2;2;2;2;2;3;2;3;2;2711;64,751390355703;010150013401;01015001340106607;010150013401066071;202605
